pos,title,artist,duration
A1,Acid Gradation,Ayako Mori (2),7:05
A2,Acid Hell,Akuaryo,6:23
B1,Rebellion To Tyrants Is Obedience To God ,Edo Messina,6:02
B2,Acid Carpet,Lady Maru,5:58
