pos,title,artist,duration
A1,Slacid,Automat (2),
A2,Shortacid ,Automat (2),
A3,Invertacid ,Automat (2),
B1,Lysergia,Shcuro,
B2,Obsession ,Shcuro,
B3,Pandemonium ,Shcuro,
