pos,title,artist,duration
A1,Lady Bird Walk ,AAAA,3:31
A2,Sleepy 4 Life,AAAA,4:54
A3,Cuidad Rata,AAAA,4:59
B1,National Insurrection,Soul Edifice,6:20
B2,Subterranean Mapping ,Soul Edifice,5:55
