pos,title,artist,duration
A1,Demons In My Head,L.F.T.,5:52
A2,Follow The Operator,L.F.T.,6:04
B1,Avoir Les Boules,Raymond D. Barre,5:13
B2,Knulp,Raymond D. Barre,3:46
B3,Hygiène De Vie,Raymond D. Barre,3:34
