pos,title,artist,duration
A1,Nou,Alder (7),
A2,Venturi,Alder (7),
A3,Basalt,Alder (7),
B1,Des Oiseaux Et Des Machines,"Fasme,Alder (7)",
B2,Maintenant,Fasme,
B3,Demain,Fasme,
