pos,title,artist,duration
A1,Scrabble,,5:35
A2,Madman Stand,,4:52
B1,Airborne,,5:05
B2,Supermarket Sweep,,3:38
C1,Sweating Bullets,,5:56
C2,Grind,,5:11
D1,Clock Work,,4:36
D2,Bonkers,,4:00
