pos,title,artist,duration
A1,Moskwa,Perseus Traxx,6:22
A2,What Do U Want From Me,Perseus Traxx,7:44
B1,The Swarm,Mantra (13),5:05
B2,Hey Amigo,Mantra (13),3:12
B3,Spacetime Reversal,Mantra (13),6:25
