pos,title,artist,duration
A1,Exit Only,,
A2,As The Word Turns,,
A3,Bubble,,
B1,Road Tour,,
B2,Home Improvement,,
B3,Night Life,,
C1,Smooke,,
C2,Heavy Bass,,
C3,It's Easy,,
D1,Shopping Mall,,
D2,Up,,
D3,3D,,
