pos,title,artist,duration
A1,Glut Acid,Cardopusher,4:52
A2,Perplex Disco,Cardopusher,4:49
A3,Edge Of Self Control,Cardopusher,4:44
B1,Veuillez Quitter La Zone,La Bile,4:35
B2,Le Chamet,La Bile,5:56
B3,La Jungle Du Plateau,La Bile,3:28
