pos,title,artist,duration
A1,Désir Obsessionnel,d_b,6:07
A2,You Little Motherfucker,d_b,5:15
B1,Techno Bangers,D. Carbone,4:04
B2,Avengers Will Save The World,D. Carbone,4:17
B3,The War Of Nano Machines,D. Carbone,3:35
