pos,title,artist,duration
A1,I Won't Follow,,3:50
A2,Look At Me,,3:26
A3,Freedom From Want,,3:07
B1,Glass,,4:43
B2,Switchback,,5:47
C1,Fate,,4:27
C2,Stow Away,,6:12
D1,Buckshot,,5:13
D2,WRX,,5:16
